n;preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area;cobertura
3494;763248064;Zona Norte;Loja Shopping/ Ct Comercial;Moinho Office;Pelotas RS;;0;0;61;0
382;691011776;Zona Norte;Loja Shopping/ Ct Comercial;Moinho Office;Pelotas RS;;0;0;55;0
4893;691011776;Zona Norte;Loja Shopping/ Ct Comercial;Moinho Office;Pelotas RS;;0;0;55;0
2080;574294528;Zona Norte;Loja Shopping/ Ct Comercial;Moinho Office;Pelotas RS;;0;0;46;0
5486;20210000;TRES VENDAS;Predio Inteiro;Avenida Fernando Osorio;Pelotas RS;3;0;0;300;0
2955;10000000;FRAGATA;Predio Inteiro;Giuseppe Mattea;Pelotas RS;;0;0;40;0
2431;6800000;TRES VENDAS;Loteamento/Condominio;;Pelotas RS;;0;0;;0
5151;6000000;TRES VENDAS;Terreno Padrao;Br Br;Pelotas RS;;0;0;;0
2772;5500000;TRES VENDAS;Terreno Padrao;Avenida Fernando Osorio;Pelotas RS;;0;0;;0
3237;5500000;FRAGATA;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;570000;0
4398;5500000;FRAGATA;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;570000;1
4547;5500000;TRES VENDAS;Terreno Padrao;Avenida Fernando Osorio;Pelotas RS;;0;0;;1
252;5325000;LARANJAL;Pousada/Chale;Endereco Nao Informado;Pelotas RS;17;17;17;1;1
4820;5325000;LARANJAL;Pousada/Chale;Endereco Nao Informado;Pelotas RS;17;17;17;1;0
1390;5000000;CENTRO;Predio Inteiro;Barao de Santa Tecla De;Pelotas RS;;0;0;4;1
5043;5000000;CENTRO;Terreno Padrao;Rua Dr Cassiano;Pelotas RS;;0;0;16000;1
5053;5000000;CENTRO;Predio Inteiro;Barao de Santa Tecla De;Pelotas RS;;0;0;4;0
5544;5000000;FRAGATA;Terreno Padrao;Joao Goulart;Pelotas RS;;0;0;;0
5562;5000000;CENTRO;Predio Inteiro;Quinze de Novembro;Pelotas RS;;0;0;1200;0
5582;5000000;TRES VENDAS;Terreno Padrao;Br;Pelotas RS;;0;0;;0
1353;4800000;TRES VENDAS;Galpao/Deposito/Armazem;Av. Fernando Osorio;Pelotas RS;;0;0;1640;0
1708;4500000;TRES VENDAS;Predio Inteiro;Avenida Fernando Osorio;Pelotas RS;;0;0;1767;1
2427;4500000;CENTRO;Predio Inteiro;Endereco Nao Informado;Pelotas RS;;0;3;2700;0
4150;4500000;CENTRO;Predio Inteiro;Endereco Nao Informado;Pelotas RS;;0;3;2700;0
5476;4500000;CENTRO;Predio Inteiro;Quinze de Novembro;Pelotas RS;;0;0;;1
2769;4200000;CENTRO;Conjunto Comercial/Sala;;Pelotas RS;;0;5;1768;1
3356;4200000;TRES VENDAS;Galpao/Deposito/Armazem;Proximo Faculdade Anhanguera;Pelotas RS;;0;0;1643;1
4531;4200000;TRES VENDAS;Galpao/Deposito/Armazem;Proximo Faculdade Anhanguera;Pelotas RS;;0;0;1643;0
1950;4000000;TRES VENDAS;Terreno Padrao;Idelfonso  Simoes Lopes;Pelotas RS;;0;0;;1
2798;4000000;CENTRO;Predio Inteiro;Rua Andrade Neves;Pelotas RS;121;0;0;;0
5372;4000000;FRAGATA;Terreno Padrao;Avenida Herbert Hadler;Pelotas RS;;0;0;;0
1163;3600000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;5;2;3;587;0
5049;3600000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;5;2;3;587;0
611;3500000;FRAGATA;Terreno Padrao;Duque Caxias De;Pelotas RS;;0;0;;0
1228;3500000;TRES VENDAS;Predio Inteiro;Avenida Fernando Osorio;Pelotas RS;;0;0;;0
1411;3180000;CENTRO;Galpao/Deposito/Armazem;Proximo Ifsul;Pelotas RS;;0;0;2200;0
560;3068736;VL JD EUROPA;Apartamento;;Pelotas RS;3;3;4;236;1
